title,genre,release_date,country,url,poster_url,Siêu anh hùng,Tôn Giáo,Lãng mạn,Ma,Chiến tranh,Phiêu lưu,Trinh thám,Tình cảm,Kinh dị,Giả tưởng,Tội phạm,Tâm Linh,Hành động,Đẹp Trai,Cổ Trang,Chính kịch,Truyền hình thực tế,Hoạt hình,Bí ẩn,Gay cấn,Gia đình,Khoa học - Viễn tưởng,Hài,Hình sự,Thảm hoạ,Thể thao,Giật gân,Lịch sử,Âm Nhạc,Drama,Tài liệu,Tâm lý
Thỏ Ơi!!,"Chính kịch, Gay cấn, Hài",17/02/2026,,https://www.momo.vn/cinema/tho-oi-24729/review,https://cinema.momocdn.net/img/134038661854988617-finnalto.png?size=M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Avatar: Lửa và Tro Tàn,"Phiêu lưu, Khoa học - Viễn tưởng, Giả tưởng",19/12/2025,,https://www.momo.vn/cinema/avatar-fire-and-ash-24650/review,https://image.tmdb.org/t/p/w500/rpgjI1Cogod8SxCSrSQJoUOUNey.jpg,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Báu Vật Trời Cho,"Chính kịch, Gia đình, Tình cảm",17/02/2026,,https://www.momo.vn/cinema/bau-vat-troi-cho-24696/review,https://cinema.momocdn.net/img/96903674459099153-fnbvtc.png?size=M,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Nhà Ba Tôi Một Phòng,"Chính kịch, Gia đình, Hài",17/02/2026,,https://www.momo.vn/cinema/nha-ba-toi-mot-phong-24748/review,https://cinema.momocdn.net/img/158694907837778523-finabuatu.png?size=M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
TÀI,"Gia đình, Hài, Hành động",06/03/2026,,https://www.momo.vn/cinema/tai-24788/review,https://cinema.momocdn.net/img/154822719454084779-PosterTAI.png?size=M,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Cảm Ơn Người Đã Thức Cùng Tôi,"Gia đình, Tình cảm, Âm Nhạc",27/02/2026,,https://www.momo.vn/cinema/cam-on-nguoi-da-thuc-cung-toi-24635/review,https://cinema.momocdn.net/img/154825187331970676-PosterCONDTCTcompressed.jpg?size=M,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Tiểu Yêu Quái Núi Lãng Lãng,"Phiêu lưu, Giả tưởng, Hài, Hoạt hình",23/01/2026,,https://www.momo.vn/cinema/tieu-yeu-quai-nui-lang-lang-24760/review,https://cinema.momocdn.net/img/96739515261817053-tyqnll-compressed.jpg?size=M,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Mùi Phở,"Gia đình, Hài",17/02/2026,,https://www.momo.vn/cinema/mui-pho-24741/review,https://cinema.momocdn.net/img/33061769328054253-mpfinal.png?size=M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Nhà Mình Đi Thôi,"Gia đình, Hài",26/02/2026,,https://www.momo.vn/cinema/nha-minh-di-thoi-24789/review,https://image.tmdb.org/t/p/w500/eWSFLuz0uyA8eYwKzQoVtO1pN43.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Quỷ Nhập Tràng 2,Kinh dị,13/03/2026,,https://www.momo.vn/cinema/quy-nhap-trang-2-24791/review,https://cinema.momocdn.net/img/154824927332790836-PosterQNT2compressed.jpg?size=M,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kumanthong Đài Loan: Oán Thai Đòi Mẹ,"Gay cấn, Kinh dị",06/02/2026,,https://www.momo.vn/cinema/mud-born-24738/review,https://cinema.momocdn.net/img/29689947865626275-mudbornposter.jpg?size=M,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tuyển Thủ Dê: Mùi Vị Chiến Thắng,"Gia đình, Hài, Hoạt hình",17/02/2026,,https://www.momo.vn/cinema/goat-24636/review,https://image.tmdb.org/t/p/w500/wZRJ3Q2XRJHov1SS80sTXbfjkz9.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Đồi Gió Hú,"Chính kịch, Lãng mạn",27/02/2026,,https://www.momo.vn/cinema/wuthering-heights-24633/review,https://cinema.momocdn.net/img/35391407064057042-poster_payoff_doi_gio_hu_6-compressed.jpg?size=M,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hoppers: Cú Nhảy Kỳ Diệu,"Gia đình, Khoa học - Viễn tưởng, Hài, Hoạt hình",13/03/2026,,https://www.momo.vn/cinema/hoppers-24647/review,https://cinema.momocdn.net/img/154821982029424713-posterHoppers.png?size=M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
Biệt Đội Thú Cưng: Cuộc Chiến Trên Đường Ray,"Gay cấn, Phiêu lưu, Hài, Hoạt hình",20/02/2026,,https://www.momo.vn/cinema/pets-on-a-train-24790/review,https://cinema.momocdn.net/img/35122630993689342-pets_on_a_train_tet_themed_poster-compressed.jpg?size=M,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Không Còn Chúng Ta,"Chính kịch, Lãng mạn",06/03/2026,,https://www.momo.vn/cinema/once-we-were-us-24795/review,https://cinema.momocdn.net/img/13974443031192641-kooooooooooo.png?size=M,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thỏ Gà Du Xuân: Đại Náo Địa Đạo,"Gia đình, Phiêu lưu, Hài, Hoạt hình",17/02/2026,,https://www.momo.vn/cinema/chickenhare-and-the-secret-of-the-groundhog-24762/review,https://cinema.momocdn.net/img/149992517515262645-thoga.png?size=M,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Quốc Bảo,Chính kịch,06/03/2026,,https://www.momo.vn/cinema/kokuho-24796/review,https://cinema.momocdn.net/img/13971239050605630-quocbao.png?size=M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Khủng Long Đón Tết,"Gia đình, Phiêu lưu, Hài, Hoạt hình",26/02/2026,,https://www.momo.vn/cinema/jungle-beat-2-the-past-24782/review,https://cinema.momocdn.net/img/96919321523477664-jb2.png?size=M,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Chuyện Kinh Dị Giới Siêu Giàu,"Gay cấn, Kinh dị",27/02/2026,,https://www.momo.vn/cinema/janur-ireng-sewu-dino-the-prequel-24792/review,https://cinema.momocdn.net/img/13433290319039024-ckdgsg.jpg?size=M,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Lời Nguyền Thư Viện Mikura,"Giả tưởng, Hoạt hình",06/03/2026,,https://www.momo.vn/cinema/whoever-steals-this-book-24794/review,https://cinema.momocdn.net/img/13970244741326360-mkira.png?size=M,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Huyền Tình Dạ Trạch,Tình cảm,10/02/2026,,https://www.momo.vn/cinema/huyen-tinh-da-trach-24784/review,https://cinema.momocdn.net/img/133832598369903963-aothatcho.png?size=M,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stray Kids: The dominATE Experience Tour Diễn Toàn Cầu,"Âm Nhạc, Tài liệu",06/03/2026,,https://www.momo.vn/cinema/the-dominate-experience-24793/review,https://cinema.momocdn.net/img/13954565217140217-chaykit.png?size=M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Bus: Chuyến Xe Một Chiều,"Gay cấn, Kinh dị",20/03/2026,,https://www.momo.vn/cinema/bus-chuyen-xe-mot-chieu-24797/review,https://cinema.momocdn.net/img/154817085064495078-busmowo.png?size=M,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Đếm Ngày Xa Mẹ,"Chính kịch, Gia đình",20/03/2026,,https://www.momo.vn/cinema/number-one-24785/review,https://cinema.momocdn.net/img/154903813702001734-noonemain.png?size=M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MAI,Lãng mạn,10/02/2024,Việt Nam,https://www.momo.vn/cinema/mai-23711/review,https://cinema.momocdn.net/img/51766330826251952-Mai_600x800.png,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
